,연도,선수,팀,구종,투심_구사%,투심_구속,투심_상하_무브먼트,투심_좌우_무브먼트,투심_분당_회전수,투심_좌우_릴리스포인트,투심_상하_릴리스포인트,투심_타구_속도,투심_상하_각도,투심_피안타율,투심_피장타율,투심_땅볼%,투심_라인드라이브%,투심_뜬공%,투심_팝플라이%,투심_강한_타구%
50,2022,윤중현,KIA,투심,42.9,136.7,1.4,-26.4,1942.0,-90.0,119.0,138.5,12.1,0.297,0.374,41.8,40.0,12.7,5.5,30.9
51,2022,최원태,키움,투심,42.5,141.9,27.6,-13.7,2314.1,-33.4,164.4,137.2,19.6,0.308,0.413,29.2,35.8,20.8,14.2,22.6
52,2022,페냐,한화,투심,42.3,146.2,23.3,-16.7,2233.3,-62.9,184.8,134.3,16.5,0.344,0.479,35.8,31.3,25.4,7.5,20.9
53,2022,킹험,한화,투심,42.1,140.3,18.1,-14.6,1772.6,-56.7,182.5,140.6,6.7,0.368,0.526,62.5,18.8,18.8,0.0,25.0
54,2022,임정호,NC,투심,39.4,138.0,9.3,27.3,2107.7,38.7,151.6,138.6,6.6,0.323,0.516,60.0,20.0,20.0,0.0,25.0
55,2022,고영표,KT,투심,38.2,135.7,-3.0,-22.3,1646.9,-63.0,105.8,133.7,10.2,0.346,0.42,45.6,36.1,14.4,3.9,25.0
56,2022,서준원,롯데,투심,38.0,138.0,-4.4,-23.2,1887.8,-93.3,103.8,134.7,12.1,0.318,0.365,50.0,27.1,12.5,10.4,22.9
57,2022,한승혁,KIA,투심,37.5,146.7,22.3,-18.3,2221.9,-42.9,175.6,136.2,12.4,0.377,0.412,44.4,32.2,10.0,13.3,32.2
58,2022,소형준,KT,투심,33.6,142.4,15.4,-16.7,1783.4,-35.7,171.1,135.0,12.7,0.254,0.3,45.2,29.8,15.4,9.6,26.9
59,2022,정찬헌,키움,투심,32.5,137.5,20.8,-17.4,1997.3,-25.1,171.7,139.3,13.0,0.317,0.5,44.7,27.7,14.9,12.8,36.2
60,2022,백정현,삼성,투심,32.2,133.0,29.2,8.7,2192.0,52.8,174.0,133.7,20.1,0.327,0.503,36.5,28.7,17.4,17.4,17.4
61,2022,원종현,NC,투심,31.5,145.7,15.3,-8.7,1405.0,-54.3,150.0,131.9,13.6,0.3,0.375,42.1,33.3,14.0,10.5,19.3
62,2022,데스파이네,KT,투심,29.0,146.6,17.9,-17.1,2016.4,-42.0,169.1,136.8,7.9,0.362,0.484,46.6,40.6,9.8,3.0,27.8
63,2022,장필준,삼성,투심,29.0,146.2,24.1,-16.3,2275.0,-50.0,182.1,132.0,16.9,0.378,0.514,34.6,42.3,11.5,11.5,23.1
64,2022,라미레즈,한화,투심,24.8,142.6,23.0,-9.2,1902.7,-21.6,177.9,130.5,19.0,0.157,0.235,41.2,20.6,20.6,17.6,23.5
65,2022,로니,KIA,투심,24.6,147.4,20.6,-21.3,2315.6,-33.5,165.1,133.8,10.5,0.357,0.524,41.4,34.5,10.3,13.8,31.0
66,2022,애플러,키움,투심,24.0,144.1,22.6,-19.2,2275.1,-32.0,177.8,133.8,13.0,0.326,0.465,36.4,41.4,10.1,12.1,19.2
67,2022,강재민,한화,투심,21.6,135.9,0.9,-16.5,1253.1,-38.6,144.7,139.3,8.5,0.235,0.382,52.4,28.6,14.3,4.8,38.1
68,2022,수아레즈,삼성,투심,21.4,149.6,22.4,-20.4,2421.2,-40.6,185.2,127.6,15.1,0.25,0.32,40.3,29.9,19.5,10.4,14.3
69,2022,하영민,키움,투심,20.3,145.1,21.5,-19.5,2234.8,-15.9,160.1,141.6,14.1,0.333,0.545,40.9,36.4,9.1,13.6,31.8
70,2022,루친스키,NC,투심,17.8,148.1,21.0,-18.2,2194.9,-68.7,171.8,127.3,11.7,0.193,0.254,41.0,32.8,16.4,9.8,16.4
71,2022,임기영,KIA,투심,11.9,135.0,10.8,-25.3,1953.3,-71.5,141.6,138.9,20.4,0.286,0.429,26.8,39.0,17.1,17.1,22.0
72,2022,반즈,롯데,투심,11.1,142.0,15.5,26.6,2327.4,54.4,168.8,142.0,11.9,0.305,0.373,44.4,38.9,8.3,8.3,47.2
73,2022,켈리,LG,투심,11.0,144.3,24.5,-17.0,2311.3,-26.1,190.8,134.2,12.3,0.268,0.31,50.0,27.3,11.4,11.4,25.0
74,2022,노경은,SSG,투심,10.7,142.7,22.6,-22.3,2414.0,-46.8,181.7,122.3,20.5,0.375,0.5,30.4,39.1,8.7,21.7,21.7
75,2022,신민혁,NC,투심,6.0,139.6,21.5,-15.1,1963.8,-40.3,171.2,134.1,14.8,0.25,0.417,33.3,33.3,33.3,0.0,27.8
76,2022,뷰캐넌,삼성,투심,4.6,144.0,22.8,-16.0,2161.6,-53.1,186.7,125.8,18.3,0.407,0.481,38.1,28.6,14.3,19.0,19.0
77,2021,정우영,LG,투심,87.9,146.3,-5.3,-27.2,2165.7,-87.0,123.9,140.7,4.9,0.183,0.221,55.4,32.6,7.6,4.3,35.9
78,2021,이강준,롯데,투심,79.6,144.7,-1.6,-25.8,1991.5,-76.6,126.7,131.2,17.2,0.36,0.52,25.0,37.5,31.3,6.3,25.0
79,2021,박웅,두산,투심,78.8,141.9,11.6,-24.2,2061.8,-72.0,177.4,141.6,8.3,0.308,0.385,50.0,31.8,18.2,0.0,40.9
80,2021,고영창,KIA,투심,66.3,133.5,9.6,-23.1,1784.4,-59.9,179.4,130.6,11.7,0.306,0.347,50.0,18.5,25.9,5.6,16.7
81,2021,이인복,롯데,투심,64.0,141.4,15.9,-23.6,2156.8,-31.7,182.7,137.1,8.3,0.324,0.5,49.6,37.4,9.8,3.3,23.6
82,2021,김태훈,키움,투심,58.9,142.7,24.2,-15.9,2207.7,-22.4,180.2,133.7,16.9,0.321,0.388,39.2,25.5,20.6,14.7,20.6
83,2021,양현,키움,투심,58.1,125.1,-7.8,-23.6,1646.6,-101.5,96.1,141.3,12.2,0.336,0.479,34.1,47.7,13.6,4.5,36.4
84,2021,김성민,키움,투심,56.7,134.2,4.2,33.3,2366.2,72.5,143.6,139.1,7.3,0.247,0.39,58.7,17.4,21.7,2.2,28.3
85,2021,박준표,KIA,투심,56.7,137.0,-0.3,-22.5,1638.8,-46.1,136.7,144.5,11.6,0.377,0.565,45.8,37.5,8.3,8.3,45.8
86,2021,박종훈,SSG,투심,53.1,130.3,-21.1,-9.4,1616.1,-40.1,51.2,137.8,7.4,0.2,0.23,57.6,27.1,8.5,6.8,23.7
87,2021,가빌리오,SSG,투심,52.3,140.1,16.2,-23.2,2115.2,-22.7,177.5,139.4,12.7,0.261,0.359,41.6,32.6,18.0,7.9,30.3
88,2021,최원태,키움,투심,49.3,142.0,24.6,-17.9,2304.0,-40.8,160.9,136.4,15.3,0.345,0.439,36.6,35.7,15.4,12.3,25.6
89,2021,요키시,키움,투심,46.7,142.4,23.2,28.2,2729.5,67.0,175.2,137.2,10.7,0.281,0.361,47.2,29.4,17.0,6.4,28.9
90,2021,김대우,롯데,투심,46.3,144.5,17.9,-24.2,2335.4,-65.9,164.5,138.9,17.1,0.321,0.607,30.8,41.0,17.9,10.3,35.9
91,2021,송은범,LG,투심,45.5,142.3,17.7,-21.6,2138.0,-50.5,178.8,135.5,9.5,0.305,0.356,47.5,32.5,17.5,2.5,20.0
92,2021,로켓,두산,투심,45.2,146.9,13.3,-25.5,2275.3,-48.7,179.2,139.5,8.0,0.332,0.414,50.3,32.5,12.7,4.5,35.7
93,2021,브리검,키움,투심,43.4,142.3,21.1,-19.3,2153.4,-61.8,180.7,139.7,7.5,0.333,0.444,51.8,33.9,7.1,7.1,30.4
94,2021,임정호,NC,투심,35.6,136.0,10.3,26.0,2023.4,29.3,157.0,138.3,0.7,0.263,0.316,65.2,30.4,4.3,0.0,26.1
95,2021,소형준,KT,투심,34.0,139.5,13.1,-17.5,1670.5,-38.7,170.5,134.8,6.6,0.26,0.286,58.0,29.6,6.2,6.2,17.3
96,2021,몽고메리,삼성,투심,31.5,144.2,22.3,26.1,2635.7,70.2,194.3,136.3,13.4,0.339,0.375,43.6,28.2,15.4,12.8,20.5
97,2021,고영표,KT,투심,28.7,136.8,-4.0,-26.8,1979.1,-77.1,107.1,135.7,11.0,0.298,0.379,44.3,35.1,14.5,6.1,31.3
98,2021,브룩스,KIA,투심,28.2,146.7,16.3,-21.2,2070.5,-67.4,188.1,134.7,12.5,0.297,0.356,33.9,48.4,9.7,8.1,29.0
99,2021,정찬헌,키움,투심,27.2,137.0,19.0,-22.6,2154.9,-31.6,171.1,140.9,16.1,0.344,0.398,40.2,25.2,21.5,13.1,31.8
100,2021,백정현,삼성,투심,25.6,134.7,29.4,14.0,2355.6,52.8,174.8,136.1,19.1,0.306,0.396,26.7,45.3,16.3,11.6,20.9
101,2021,안영명,KT,투심,23.4,135.2,23.3,-12.3,1963.1,-60.0,186.0,137.5,12.5,0.237,0.289,50.0,20.8,25.0,4.2,25.0
102,2021,데스파이네,KT,투심,23.1,146.2,16.7,-18.1,1981.4,-45.4,167.1,134.7,8.9,0.259,0.312,49.6,28.9,14.0,7.4,28.1
103,2021,루친스키,NC,투심,23.0,147.5,19.5,-22.0,2321.7,-70.2,171.2,125.3,11.6,0.247,0.308,48.6,27.9,11.7,11.7,14.4
104,2021,원종현,NC,투심,22.6,147.2,15.7,-19.6,2009.0,-30.0,150.1,134.0,12.1,0.435,0.522,25.8,61.3,6.5,6.5,29.0
105,2021,서덕원,KIA,투심,20.7,135.5,17.6,-18.6,1828.0,-58.1,158.2,132.3,19.7,0.16,0.28,33.3,27.8,11.1,27.8,11.1
106,2021,파슨스,NC,투심,19.7,146.4,19.6,-24.9,2483.4,-57.6,173.1,126.0,13.9,0.183,0.279,38.5,29.2,23.1,9.2,15.4
107,2021,켈리,LG,투심,18.4,143.7,23.0,-18.7,2293.3,-42.3,188.0,135.1,12.2,0.311,0.379,44.8,33.3,11.5,10.4,27.1
108,2021,문승원,SSG,투심,17.6,140.6,25.1,-19.9,2385.0,-55.2,172.1,135.2,16.4,0.269,0.385,38.1,23.8,28.6,9.5,14.3
109,2021,쿠에바스,KT,투심,15.3,143.3,21.4,-17.4,2140.7,-50.3,172.5,136.5,17.0,0.278,0.329,37.1,22.6,27.4,12.9,25.8
