,연도,선수,팀,구종,커브_구사%,커브_구속,커브_상하_무브먼트,커브_좌우_무브먼트,커브_분당_회전수,커브_좌우_릴리스포인트,커브_상하_릴리스포인트,커브_타구_속도,커브_상하_각도,커브_피안타율,커브_피장타율,커브_땅볼%,커브_라인드라이브%,커브_뜬공%,커브_팝플라이%,커브_강한_타구%
56,2023,장민재,한화,커브,9.6,113.3,-16.5,18.2,1460.1,-58.7,191.9,130.6,15.8,0.533,0.8,46.7,13.3,33.3,6.7,13.3
57,2023,손동현,KT,커브,9.2,116.5,-14.8,19.1,1513.9,-36.3,168.7,132.0,9.3,0.176,0.235,61.9,19.0,14.3,4.8,9.5
58,2023,스트레일리,롯데,커브,9.0,119.4,-20.5,13.2,1550.3,-67.9,192.0,136.8,14.5,0.294,0.353,14.3,71.4,14.3,0.0,28.6
59,2023,이의리,KIA,커브,8.6,124.0,-16.7,-9.7,1257.5,66.6,181.3,133.0,9.3,0.164,0.218,43.8,37.5,18.8,0.0,12.5
60,2023,이용준,NC,커브,8.5,118.7,-14.0,3.5,949.8,-54.5,191.8,136.0,17.0,0.111,0.167,41.7,33.3,8.3,16.7,33.3
61,2023,이태양,한화,커브,8.3,115.6,-4.5,8.8,707.5,-18.9,197.0,129.1,37.3,0.053,0.053,11.8,17.6,17.6,52.9,5.9
62,2023,오원석,SSG,커브,8.1,114.1,-7.8,-12.3,893.8,61.1,178.8,126.1,24.1,0.262,0.381,17.9,39.3,25.0,17.9,10.7
63,2023,백정현,삼성,커브,7.9,119.4,6.0,-1.5,487.3,48.9,178.4,132.7,15.6,0.281,0.344,40.0,30.0,25.0,5.0,20.0
64,2023,수아레즈,삼성,커브,7.2,123.8,-8.9,9.6,894.6,-38.0,189.0,134.5,25.7,0.2,0.225,20.8,29.2,29.2,20.8,20.8
65,2023,문승원,SSG,커브,5.8,120.5,-13.0,3.4,936.0,-47.2,176.6,139.6,17.4,0.444,0.667,18.8,62.5,12.5,6.3,25.0
66,2023,벤자민,KT,커브,4.1,120.5,-16.6,-9.5,1247.4,72.1,197.8,137.5,14.2,0.313,0.406,35.3,41.2,17.6,5.9,29.4
67,2022,양현,키움,커브,53.2,116.4,11.0,11.9,1057.5,-100.7,94.9,130.5,19.1,0.23,0.393,34.8,23.9,30.4,10.9,13.0
68,2022,윤산흠,한화,커브,44.2,127.7,-21.6,10.9,1620.3,-33.0,172.0,131.0,8.3,0.191,0.279,51.7,27.6,20.7,0.0,17.2
69,2022,박준표,KIA,커브,34.6,116.4,1.0,26.4,1596.0,-60.1,118.5,130.8,22.5,0.243,0.324,25.0,32.1,25.0,17.9,10.7
70,2022,이채호,KT,커브,33.1,119.3,9.1,18.5,1348.2,-64.1,73.9,123.5,29.3,0.137,0.157,23.3,23.3,23.3,30.0,13.3
71,2022,우규민,삼성,커브,30.7,116.2,1.2,16.1,1023.9,-97.4,107.1,128.5,19.5,0.298,0.447,29.4,32.4,26.5,11.8,20.6
72,2022,이승진,두산,커브,28.7,122.8,-21.2,9.4,1529.9,-33.3,200.0,134.8,17.8,0.303,0.394,33.3,33.3,28.6,4.8,23.8
73,2022,장시환,한화,커브,27.9,121.2,-24.7,15.9,1844.5,-38.7,186.5,136.9,5.3,0.214,0.357,45.2,48.4,3.2,3.2,25.8
74,2022,요키시,키움,커브,25.1,124.7,-7.6,-3.2,623.0,67.4,183.6,133.4,12.7,0.21,0.293,39.3,38.1,16.7,6.0,19.0
75,2022,켈리,LG,커브,24.6,129.1,-9.8,8.1,906.5,-27.3,198.7,135.7,14.5,0.209,0.24,33.3,41.2,15.7,9.8,23.5
76,2022,최민준,SSG,커브,24.0,121.6,-20.1,12.5,1525.2,-16.2,184.8,135.0,10.0,0.2,0.333,42.9,39.3,10.7,7.1,21.4
77,2022,신정락,한화,커브,23.8,112.5,7.2,31.9,1906.8,-65.9,105.7,126.5,31.7,0.167,0.238,12.9,25.8,29.0,32.3,6.5
78,2022,데스파이네,KT,커브,23.3,129.1,-3.2,15.3,1132.9,-44.8,173.6,132.8,18.3,0.254,0.373,33.3,29.3,25.3,12.1,14.1
79,2022,박종훈,SSG,커브,22.2,119.1,17.9,9.6,1335.6,-49.3,49.2,136.4,29.0,0.244,0.463,20.8,29.2,20.8,29.2,12.5
80,2022,김재열,KIA,커브,22.0,118.7,-23.9,6.7,1518.5,-18.9,197.7,134.7,5.8,0.114,0.114,52.9,41.2,0.0,5.9,5.9
81,2022,김시훈,NC,커브,21.5,119.4,-20.1,7.5,1348.0,-43.2,192.9,130.1,12.2,0.145,0.205,40.5,35.1,16.2,8.1,16.2
82,2022,정찬헌,키움,커브,21.5,118.2,-11.0,18.7,1353.1,-28.9,177.5,138.0,12.5,0.253,0.453,42.5,30.0,22.5,5.0,22.5
83,2022,김대유,LG,커브,21.0,118.2,-3.3,-13.8,929.8,110.3,142.8,121.4,28.1,0.15,0.25,29.4,11.8,29.4,29.4,5.9
84,2022,파노니,KIA,커브,20.2,118.3,-11.2,-13.1,1064.9,66.1,174.4,126.8,13.9,0.169,0.185,42.9,39.3,7.1,10.7,3.6
85,2022,모리만도,SSG,커브,19.7,119.5,-14.1,-9.5,1087.7,51.3,192.3,130.2,17.8,0.167,0.208,39.3,25.0,25.0,10.7,10.7
86,2022,이민우,한화,커브,19.5,121.8,-8.4,10.8,945.6,-36.4,191.2,132.5,26.5,0.1,0.133,26.3,21.1,36.8,15.8,10.5
87,2022,이정용,LG,커브,19.1,119.2,-15.5,11.9,1262.3,-35.7,187.8,122.1,23.7,0.2,0.333,19.4,25.8,32.3,22.6,16.1
88,2022,박세웅,롯데,커브,19.1,121.1,-25.2,12.3,1776.8,-20.9,180.1,134.8,7.9,0.188,0.257,56.8,20.5,18.2,4.5,25.0
89,2022,임찬규,LG,커브,18.6,112.3,-18.4,17.8,1517.1,-24.8,180.3,128.5,18.4,0.221,0.235,23.1,46.2,17.9,12.8,2.6
90,2022,안우진,키움,커브,17.5,128.2,-4.4,10.0,867.0,-24.6,182.8,134.8,21.1,0.148,0.209,30.0,28.0,28.0,14.0,18.0
91,2022,더모디,NC,커브,17.3,117.7,-15.9,-14.3,1328.5,33.6,194.5,126.3,18.1,0.294,0.353,33.3,33.3,22.2,11.1,11.1
92,2022,김민우,한화,커브,17.0,113.8,-12.7,15.1,1198.1,-33.8,192.3,125.6,20.6,0.255,0.337,17.2,53.1,17.2,12.5,4.7
93,2022,김진욱,롯데,커브,16.8,119.0,-22.9,-8.0,1502.8,49.4,188.3,138.4,12.3,0.154,0.192,50.0,33.3,16.7,0.0,16.7
94,2022,플럿코,LG,커브,16.6,119.9,-16.3,15.7,1431.5,-41.8,189.5,128.2,17.2,0.194,0.265,35.2,29.6,20.4,14.8,13.0
95,2022,이우찬,LG,커브,16.5,122.4,-22.6,-11.7,1630.0,58.0,189.0,130.1,15.8,0.065,0.065,25.0,37.5,25.0,12.5,12.5
96,2022,놀린,KIA,커브,16.1,119.2,-15.7,-11.2,1262.4,38.1,187.4,131.9,11.6,0.177,0.25,36.2,38.3,23.4,2.1,14.9
97,2022,루친스키,NC,커브,16.0,130.4,-5.7,4.1,579.0,-68.4,180.7,130.6,16.6,0.214,0.327,36.1,27.7,22.9,13.3,15.7
98,2022,윤중현,KIA,커브,15.6,118.4,-2.0,13.8,885.1,-95.1,115.5,134.6,20.3,0.241,0.448,30.4,21.7,34.8,13.0,8.7
