,연도,선수,팀,구종,직구_구사%,직구_구속,직구_상하_무브먼트,직구_좌우_무브먼트,직구_분당_회전수,직구_좌우_릴리스포인트,직구_상하_릴리스포인트,직구_타구_속도,직구_상하_각도,직구_피안타율,직구_피장타율,직구_땅볼%,직구_라인드라이브%,직구_뜬공%,직구_팝플라이%,직구_강한_타구%
71,2023,이용준,NC,직구,51.1,143.2,27.1,-15.1,2337.5,-53.9,180.4,137.6,17.8,0.255,0.362,35.8,28.4,25.3,10.5,26.3
72,2023,배제성,KT,직구,51.0,140.4,32.6,-0.6,2455.4,-23.3,184.9,134.2,18.2,0.301,0.379,27.3,38.8,23.6,10.3,26.1
73,2023,이정용,LG,직구,50.8,142.8,29.0,-18.2,2593.7,-31.6,181.0,138.6,25.3,0.256,0.389,21.1,29.9,28.6,20.4,25.2
74,2023,김서현,한화,직구,50.8,151.7,17.9,-18.0,2051.2,-70.5,159.2,137.0,10.0,0.35,0.6,45.8,37.5,12.5,4.2,33.3
75,2023,엘리아스,SSG,직구,50.7,147.8,27.5,17.4,2534.1,44.9,175.6,135.2,27.0,0.29,0.426,20.3,33.9,18.2,27.6,26.0
76,2023,구창모,NC,직구,50.7,142.6,30.0,19.5,2670.8,62.8,174.0,130.8,23.1,0.196,0.283,25.4,30.5,22.0,22.0,13.6
77,2023,슐서,KT,직구,50.6,143.7,28.1,-15.0,2457.4,-38.0,184.0,133.4,27.8,0.352,0.533,23.8,23.8,22.6,29.8,23.8
78,2023,안우진,키움,직구,50.5,152.5,31.1,-11.5,2660.8,-14.7,176.8,137.0,22.7,0.248,0.316,25.1,33.2,23.6,18.1,29.1
79,2023,송명기,NC,직구,50.5,142.1,21.7,-24.9,2447.9,-90.5,151.9,135.1,25.9,0.272,0.413,19.3,30.4,31.7,18.6,19.3
80,2023,황동하,KIA,직구,50.4,141.6,26.1,-19.0,2367.0,-31.4,172.2,137.8,21.8,0.305,0.661,26.1,30.4,26.1,17.4,30.4
81,2023,홍정우,삼성,직구,50.3,140.1,30.7,-14.4,2506.8,-50.5,178.0,139.9,21.6,0.306,0.484,23.8,35.7,23.8,16.7,23.8
82,2023,서진용,SSG,직구,50.2,143.1,30.0,-13.2,2463.5,-43.1,177.0,132.2,20.5,0.266,0.344,27.8,30.4,27.8,13.9,15.2
83,2023,알칸타라,두산,직구,49.7,149.9,27.1,-18.4,2591.3,-33.0,175.1,134.9,24.2,0.231,0.365,23.9,31.9,26.5,17.7,22.1
84,2023,김규연,한화,직구,49.6,144.7,20.6,-17.5,2094.1,-46.7,172.8,137.4,24.0,0.263,0.342,22.2,25.9,33.3,18.5,22.2
85,2023,김영현,KT,직구,49.6,143.4,30.2,-7.8,2386.3,-27.7,168.0,138.2,27.1,0.254,0.492,20.0,28.6,28.6,22.9,37.1
86,2023,박치국,두산,직구,49.5,143.2,9.3,-24.8,2015.0,-54.3,120.0,133.1,21.0,0.274,0.4,21.5,41.5,26.2,10.8,26.2
87,2023,이영하,두산,직구,49.5,147.5,28.5,-15.6,2534.0,-40.1,197.5,138.8,22.3,0.342,0.506,27.6,31.0,24.1,17.2,32.8
88,2023,이호성,삼성,직구,49.4,140.6,32.0,-11.9,2557.4,-14.2,171.9,139.9,18.7,0.242,0.515,29.6,25.9,33.3,11.1,18.5
89,2023,김명신,두산,직구,48.9,141.0,27.4,-15.5,2355.1,-26.8,175.0,131.8,22.2,0.266,0.352,18.5,43.5,22.8,15.2,21.7
90,2023,이지강,LG,직구,48.7,142.5,28.6,-13.7,2384.0,-25.1,166.8,135.6,25.5,0.223,0.331,24.0,26.9,29.8,19.2,17.3
91,2023,김도규,롯데,직구,48.7,141.0,26.4,-19.2,2441.6,-14.1,191.6,138.3,18.6,0.21,0.274,35.6,24.4,26.7,13.3,24.4
92,2023,산체스,한화,직구,48.6,147.8,22.5,26.9,2713.4,60.4,163.2,132.5,17.4,0.288,0.394,34.8,32.3,19.6,13.3,22.8
93,2023,태너,NC,직구,48.2,139.8,26.0,14.2,2182.7,69.0,181.9,134.5,23.3,0.3,0.491,27.8,29.1,27.8,15.2,25.3
94,2023,이용찬,NC,직구,48.1,145.9,23.9,-21.4,2449.8,-56.6,167.8,130.7,22.2,0.188,0.241,27.6,27.6,27.6,17.1,25.0
95,2023,맥키니,키움,직구,48.0,139.6,30.2,17.6,2549.0,36.0,177.4,139.1,27.4,0.223,0.394,21.9,26.0,27.4,24.7,24.7
96,2023,오원석,SSG,직구,48.0,141.8,25.1,18.5,2327.4,61.1,168.7,134.8,18.1,0.295,0.411,37.5,29.2,17.7,15.6,25.5
97,2023,정구범,NC,직구,47.9,141.4,24.8,18.3,2280.0,60.7,170.7,142.2,21.0,0.364,0.727,25.0,43.8,12.5,18.8,50.0
98,2023,최승용,두산,직구,47.9,141.5,27.0,20.1,2513.4,55.8,172.3,136.3,25.1,0.289,0.381,23.9,26.8,29.7,19.6,26.1
99,2023,김영규,NC,직구,47.7,144.5,28.0,16.9,2477.9,54.6,181.1,133.7,16.3,0.206,0.34,36.7,25.0,31.7,6.7,16.7
100,2023,전상현,KIA,직구,47.7,142.2,32.4,-9.1,2482.2,-38.6,169.1,138.7,20.4,0.291,0.369,29.2,33.3,23.6,13.9,25.0
101,2023,장시환,한화,직구,47.4,145.1,28.0,-9.8,2290.6,-50.7,170.1,139.0,19.3,0.308,0.365,27.3,39.4,15.2,18.2,21.2
102,2023,신정락,롯데,직구,47.0,137.2,2.3,-25.6,1879.2,-66.1,112.1,137.1,19.8,0.34,0.48,28.6,40.0,17.1,14.3,37.1
103,2023,윤석원,키움,직구,46.8,136.8,27.5,7.5,2061.1,37.8,179.7,139.3,21.5,0.318,0.432,22.9,42.9,17.1,17.1,28.6
104,2023,최지강,두산,직구,46.7,144.0,21.8,-22.2,2363.7,-54.4,158.9,142.3,11.8,0.259,0.296,43.5,30.4,17.4,8.7,39.1
105,2023,김민우,한화,직구,46.7,139.4,31.5,-1.7,2354.7,-29.4,186.2,138.9,27.6,0.369,0.631,19.7,31.8,21.2,27.3,31.8
106,2023,최성영,NC,직구,46.4,137.0,27.9,15.9,2311.5,69.7,167.7,133.5,20.7,0.328,0.525,27.8,34.4,22.2,15.6,23.3
107,2023,임창민,키움,직구,46.4,141.1,31.6,-16.5,2635.3,-62.7,174.9,136.9,23.9,0.264,0.429,22.2,31.7,27.0,19.0,19.0
