연도,순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문,타자_타율,타자_타석,타자_타수,타자_득점,타자_안타,타자_2루타,타자_3루타,타자_홈런,타자_루타,타자_타점,타자_희생번트,타자_희생플라이,타자_볼넷,타자_고의4구,타자_사구,타자_삼진,타자_병살타,타자_장타율,타자_출루율,타자_출루율+장타율(OPS),타자_멀티히트,타자_득점권타율,타자_대타타율,투수_평균자책점,투수_승리,투수_패배,투수_세이브,투수_홀드,투수_승률,투수_이닝,투수_피안타,투수_피홈런,투수_볼넷,투수_사구,투수_삼진,투수_실점,투수_자책점,투수_이닝당 출루허용률,투수_완투,투수_완봉,투수_퀄리티스타트,투수_블론세이브,투수_타자수,투수_투구수,투수_피안타율,투수_피2루타,투수_피3루타,투수_희생번트,투수_희생플라이,투수_고의4구,투수_폭투,투수_보크,수비_실책,수비_견제사,수비_풋아웃,수비_어시스트,수비_병살,수비_수비율,수비_포일,수비_도루허용,수비_도루실패,수비_도루저지율,주루_도루시도,주루_도루성공,주루_도루실패,주루_도루성공률,주루_주루사,주루_견제사
2017,3,롯데,144,80,62,2,0.563,6.5,8승0무2패,5승,45-2-25,35-0-37,0.285,5671,4994,743,1425,250,17,151,2162,697,76,32,457,33,112,1018,146,0.433,0.356,0.789,144,0.28,0.229,4.56,80,62,39,59,0.563,1287 1/3,1357,162,477,79,1096,701,652,1.42,1,10,61,21,5634,21978,0.273,245,20,51,50,25,67,7,86,10,3862,1514,132,0.984,14,87,45,34.1,136,92,44,67.6,52,10
2017,4,NC,144,79,62,3,0.56,7.0,5승1무4패,4승,44-1-27,35-2-35,0.293,5790,5079,786,1489,277,19,149,2251,739,62,48,471,19,130,979,119,0.443,0.365,0.808,144,0.292,0.249,4.71,79,62,32,51,0.56,1284 2/3,1342,169,470,93,1097,745,673,1.41,1,10,48,11,5640,22176,0.269,208,9,63,29,12,93,3,108,4,3854,1432,134,0.98,4,64,42,39.6,125,93,32,74.4,59,7
2017,5,SK,144,75,68,1,0.524,12.0,7승0무3패,2승,42-0-30,33-1-38,0.271,5564,4925,761,1337,222,15,234,2291,733,57,41,427,20,113,1100,97,0.465,0.341,0.806,144,0.273,0.237,5.02,75,68,30,64,0.524,1270 2/3,1443,154,481,105,940,767,709,1.51,2,4,57,24,5692,21752,0.288,271,17,58,36,35,61,7,108,15,3812,1552,139,0.98,8,80,39,32.8,95,53,42,55.8,33,7
2017,6,LG,144,69,72,3,0.489,17.0,4승0무6패,2패,38-0-34,31-3-38,0.281,5614,4944,699,1390,216,20,110,1976,663,76,55,438,17,101,1021,123,0.4,0.348,0.748,144,0.295,0.217,4.3,69,72,32,66,0.489,1279,1305,124,379,102,1040,677,611,1.32,4,6,62,18,5507,21107,0.266,249,29,57,54,31,81,3,103,12,3837,1434,127,0.981,9,62,37,37.4,133,77,56,57.9,50,9
2017,7,넥센,144,69,73,2,0.486,17.5,3승0무7패,4패,39-2-31,30-0-42,0.29,5712,5098,789,1479,267,30,141,2229,748,21,42,468,15,83,1066,129,0.437,0.357,0.794,144,0.29,0.23,5.03,69,73,40,66,0.486,1271,1488,149,388,97,1005,764,710,1.48,2,5,60,18,5663,21258,0.292,280,21,47,40,10,56,3,91,7,3813,1424,125,0.983,8,73,43,37.1,104,70,34,67.3,55,2
2017,8,한화,144,61,81,2,0.43,25.5,3승1무6패,5패,30-1-41,31-1-40,0.287,5665,5030,737,1445,261,16,150,2188,684,85,38,416,15,94,974,112,0.435,0.35,0.785,144,0.29,0.281,5.28,61,81,31,49,0.43,1273,1474,166,446,100,914,820,747,1.51,1,5,54,21,5698,22066,0.293,278,16,71,57,13,77,4,91,4,3819,1500,151,0.983,11,78,42,35.0,108,64,44,59.3,58,12
2017,9,삼성,144,55,84,5,0.396,30.0,4승0무6패,2승,28-2-42,27-3-42,0.279,5707,5095,757,1419,255,36,145,2181,703,58,55,429,17,70,983,97,0.428,0.34,0.768,144,0.285,0.22,5.88,55,84,27,34,0.396,1281 1/3,1541,187,548,118,1063,911,837,1.63,1,3,43,12,5916,23196,0.3,281,28,56,59,15,74,4,95,6,3844,1454,152,0.982,14,64,35,35.4,135,98,37,72.6,53,6
2017,10,KT,144,50,94,0,0.347,37.5,3승0무7패,2패,27-0-45,23-0-49,0.275,5485,4937,655,1360,274,17,119,2025,625,62,45,374,11,66,1017,118,0.41,0.332,0.742,144,0.29,0.239,5.75,50,94,22,41,0.347,1256,1524,174,433,95,913,876,803,1.56,4,7,49,18,5702,21518,0.301,283,27,68,49,11,77,6,112,6,3768,1460,134,0.979,10,109,43,28.3,137,86,51,62.8,54,8
2016,1,두산,144,93,50,1,0.65,0.0,6승0무4패,2승,46-1-25,47-0-25,0.298,5841,5044,935,1504,284,25,183,2387,877,43,68,600,11,86,884,121,0.473,0.378,0.851,144,0.305,0.261,4.45,93,50,36,55,0.65,1287 2/3,1385,136,498,77,982,682,636,1.46,2,7,75,15,5658,22155,0.279,246,30,59,51,7,66,4,79,8,3863,1522,160,0.986,4,82,44,34.9,130,85,45,65.4,64,4
2016,2,NC,144,83,58,3,0.589,9.0,6승0무4패,2패,39-2-31,44-1-27,0.291,5833,5007,857,1457,249,19,169,2251,808,70,52,609,18,93,1023,133,0.45,0.375,0.825,143,0.302,0.239,4.48,83,58,36,62,0.589,1286 1/3,1314,137,516,86,1147,690,640,1.42,0,10,42,13,5643,22029,0.266,208,18,53,40,2,84,7,100,4,3859,1430,136,0.981,3,70,43,38.1,140,99,41,70.7,48,3
2016,3,넥센,144,77,66,1,0.538,16.0,3승0무7패,3패,44-0-28,33-1-38,0.293,5702,4990,813,1464,254,39,134,2198,765,34,59,556,17,63,956,121,0.44,0.368,0.808,144,0.306,0.244,4.96,77,66,38,74,0.538,1280 1/3,1487,152,435,68,895,757,705,1.5,0,4,45,17,5684,21627,0.294,249,27,66,59,3,50,3,94,8,3841,1460,121,0.983,11,98,60,38.0,237,154,83,65.0,56,11
2016,4,LG,144,71,71,2,0.5,21.5,4승1무5패,1패,40-2-30,31-0-41,0.29,5765,5051,786,1464,238,26,118,2108,744,65,54,523,10,72,982,92,0.417,0.361,0.778,143,0.286,0.236,5.04,71,71,34,75,0.5,1287 2/3,1426,122,539,109,909,807,721,1.53,2,5,53,16,5782,22100,0.284,243,23,64,56,27,84,1,103,12,3863,1580,139,0.981,9,80,49,38.0,191,121,70,63.4,70,13
2016,5,KIA,144,70,73,1,0.49,23.0,5승0무5패,2패,38-0-34,32-1-39,0.286,5696,4999,803,1429,264,28,170,2259,754,66,45,499,12,87,997,109,0.452,0.358,0.81,144,0.288,0.286,4.97,70,73,38,74,0.49,1276,1456,131,561,59,965,785,705,1.58,7,5,58,21,5771,22527,0.29,230,23,75,54,18,69,7,111,10,3828,1441,139,0.979,4,136,49,26.5,151,101,50,66.9,52,12
2016,6,SK,144,69,75,0,0.479,24.5,4승0무6패,1승,35-0-37,34-0-38,0.291,5672,5023,753,1464,234,19,182,2282,715,71,47,429,13,102,1018,104,0.454,0.356,0.81,142,0.276,0.299,4.87,69,75,31,43,0.479,1274,1386,151,527,76,945,784,689,1.5,1,5,60,12,5659,21558,0.28,232,22,61,48,18,65,7,123,7,3822,1691,149,0.978,4,106,64,37.6,149,89,60,59.7,71,8
2016,7,한화,144,66,75,3,0.468,26.0,6승0무4패,3승,36-2-34,30-1-41,0.289,5838,5109,826,1478,242,27,142,2200,787,87,41,510,19,91,1025,123,0.431,0.362,0.793,144,0.301,0.28,5.76,66,75,24,39,0.468,1292 2/3,1520,155,634,76,976,908,827,1.67,1,2,25,13,5937,23157,0.299,230,15,81,59,23,72,6,124,7,3878,1497,152,0.977,8,124,66,34.7,102,64,38,62.7,58,10
2016,8,롯데,144,66,78,0,0.458,27.5,5승0무5패,2승,40-0-32,26-0-46,0.288,5784,5001,777,1439,252,20,127,2112,732,62,41,596,18,83,1061,120,0.422,0.37,0.792,144,0.285,0.251,5.63,66,78,27,59,0.458,1266 1/3,1486,161,585,78,1009,865,792,1.64,2,5,50,18,5785,22761,0.297,276,32,60,52,27,82,5,91,14,3799,1545,142,0.983,14,90,59,39.6,209,145,64,69.4,55,10
2016,9,삼성,144,65,78,1,0.455,28.0,5승0무5패,1패,34-0-38,31-1-40,0.293,5863,5093,852,1492,249,34,142,2235,792,88,55,552,15,75,864,119,0.439,0.367,0.806,144,0.298,0.221,5.64,65,78,34,60,0.455,1282 1/3,1507,193,518,87,935,869,804,1.58,2,4,49,18,5799,22623,0.296,251,20,59,43,6,52,8,90,12,3847,1410,140,0.983,8,115,58,33.5,154,104,50,67.5,51,5
2016,10,KT,144,53,89,2,0.373,39.5,4승0무6패,2승,28-0-44,25-2-45,0.276,5620,4963,672,1369,214,11,116,1953,639,65,45,499,7,48,933,130,0.394,0.345,0.739,144,0.278,0.22,5.92,53,89,27,48,0.373,1273,1593,145,560,84,980,927,838,1.69,1,2,38,15,5896,23328,0.31,315,38,73,45,9,77,9,130,5,3819,1550,151,0.976,11,115,55,32.4,142,96,46,67.6,58,11
2015,1,두산,144,79,65,0,0.549,9.0,6승0무4패,2승,41-0-31,38-0-34,0.29,5759,4957,807,1436,254,22,140,2154,770,75,60,567,24,99,820,139,0.435,0.37,0.805,143,0.287,0.262,5.02,79,65,30,57,0.549,1286,1385,138,584,77,1064,776,718,1.53,3,10,58,18,5762,22557,0.28,248,22,104,45,15,72,11,93,7,3858,1498,134,0.983,6,109,48,30.6,158,111,47,70.3,56,6
2015,2,삼성,144,88,56,0,0.611,0.0,6승0무4패,3승,46-0-26,42-0-30,0.302,5803,5019,897,1515,259,25,176,2352,850,76,57,581,21,70,930,109,0.469,0.378,0.847,143,0.311,0.239,4.69,88,56,34,60,0.611,1275 1/3,1323,182,423,64,1194,716,665,1.37,4,7,75,10,5523,21832,0.268,270,17,67,37,11,44,2,96,9,3826,1304,104,0.982,8,80,49,38.0,209,157,52,75.1,60,6
2015,3,NC,144,84,57,3,0.596,2.5,6승1무3패,1패,40-2-30,44-1-27,0.289,5727,4967,844,1437,283,28,161,2259,802,64,53,536,25,106,1023,105,0.455,0.367,0.822,144,0.293,0.28,4.26,84,57,37,55,0.596,1279 1/3,1283,149,436,113,1057,655,605,1.34,1,11,55,11,5536,21650,0.264,221,17,79,50,13,60,3,83,3,3838,1460,133,0.985,5,85,37,30.3,264,204,60,77.3,50,14
2015,4,넥센,144,78,65,1,0.545,9.5,4승0무6패,1패,40-0-32,38-1-33,0.298,5811,5069,904,1512,304,20,203,2465,855,61,55,544,18,82,1098,112,0.486,0.372,0.858,141,0.298,0.27,4.91,78,65,29,44,0.545,1286,1404,146,518,81,1066,790,701,1.49,1,7,49,11,5709,22181,0.281,236,28,70,45,8,85,4,110,24,3858,1540,138,0.98,10,111,52,31.9,147,100,47,68.0,72,16
2015,5,SK,144,69,73,2,0.486,18.0,6승0무4패,1승,37-1-34,32-1-39,0.272,5588,4861,693,1323,214,10,145,1992,656,110,29,490,13,98,1047,113,0.41,0.349,0.759,144,0.28,0.227,4.71,69,73,31,60,0.486,1280 2/3,1358,153,517,70,1149,724,670,1.46,3,7,57,12,5646,22190,0.275,270,11,77,38,31,71,4,95,7,3842,1471,130,0.982,6,108,51,32.1,153,94,59,61.4,59,14
2015,6,한화,144,68,76,0,0.472,20.0,6승0무4패,1패,38-0-34,30-0-42,0.271,5716,4852,717,1316,218,19,130,1962,667,139,35,581,33,109,1135,112,0.404,0.36,0.764,144,0.269,0.207,5.11,68,76,32,44,0.472,1279 2/3,1349,157,648,96,920,800,727,1.56,5,7,37,14,5771,22825,0.275,232,12,82,45,38,85,9,105,9,3839,1582,145,0.981,14,165,63,27.6,127,80,47,63.0,57,14
2015,7,KIA,144,67,77,0,0.465,21.0,4승0무6패,4패,36-0-36,31-0-41,0.251,5454,4777,648,1197,223,22,136,1872,602,79,43,454,16,101,1126,105,0.392,0.326,0.718,144,0.248,0.198,4.79,67,77,32,65,0.465,1273,1371,143,572,98,979,739,678,1.53,1,10,44,17,5673,22126,0.283,252,31,101,49,22,80,4,84,14,3819,1537,148,0.985,6,140,56,28.6,165,115,50,69.7,60,13
2015,8,롯데,144,66,77,1,0.462,21.5,2승0무8패,1승,37-0-35,29-1-42,0.28,5680,4972,765,1393,254,19,177,2216,727,80,28,532,22,68,1186,136,0.446,0.356,0.802,144,0.274,0.183,5.07,66,77,19,47,0.462,1281 1/3,1461,164,489,87,1015,802,722,1.52,3,5,59,18,5724,22356,0.291,253,13,76,49,26,89,3,114,10,3844,1569,138,0.979,16,107,54,33.5,154,104,50,67.5,56,9
2015,9,LG,144,64,78,2,0.451,23.0,6승0무4패,2승,33-2-37,31-0-41,0.269,5599,4941,653,1331,252,22,114,1969,601,75,41,462,18,80,1076,98,0.399,0.339,0.738,144,0.245,0.218,4.62,64,78,25,44,0.451,1279 2/3,1352,125,490,98,1063,721,657,1.44,3,5,57,15,5599,21661,0.277,227,26,91,37,30,82,3,103,14,3839,1608,162,0.981,8,127,52,29.1,175,113,62,64.6,55,9
2015,10,KT,144,52,91,1,0.364,35.5,2승1무7패,1패,30-0-42,22-1-49,0.273,5605,4927,670,1344,221,15,129,1982,633,75,37,507,21,58,1112,118,0.402,0.345,0.747,142,0.272,0.267,5.56,52,91,16,31,0.364,1266 2/3,1518,154,577,87,1046,875,782,1.65,3,3,34,10,5799,22867,0.303,273,25,87,43,17,86,4,118,14,3800,1530,159,0.978,6,139,64,31.5,176,124,52,70.5,58,10
2014,1,삼성,128,78,47,3,0.624,0.0,3승0무7패,1패,40-2-22,38-1-25,0.301,5152,4464,812,1345,238,23,161,2112,763,76,43,507,11,62,743,88,0.473,0.377,0.85,128,0.327,0.223,4.52,78,47,35,65,0.624,1144,1217,120,395,61,996,621,575,1.41,3,6,63,18,4990,19628,0.275,257,24,66,40,11,51,3,77,6,3432,1171,104,0.984,8,100,44,30.6,207,161,46,77.8,60,10
2014,2,넥센,128,78,48,2,0.619,0.5,7승1무2패,6승,42-1-21,36-1-27,0.298,5163,4434,841,1323,275,31,199,2257,786,65,40,523,10,101,849,100,0.509,0.382,0.891,128,0.286,0.233,5.25,78,48,35,55,0.619,1131 2/3,1299,142,516,61,901,716,660,1.6,0,3,43,12,5107,20728,0.293,231,18,57,36,2,55,4,79,12,3395,1342,125,0.984,7,118,44,27.2,144,100,44,69.4,54,13
2014,3,NC,128,70,57,1,0.551,9.0,6승0무4패,1패,38-0-26,32-1-31,0.282,5031,4426,737,1249,228,36,143,1978,697,44,51,443,9,67,918,90,0.447,0.353,0.8,127,0.3,0.257,4.29,70,57,31,59,0.551,1135 2/3,1174,117,481,73,848,608,541,1.46,3,4,59,19,5003,19320,0.271,223,12,78,38,8,50,5,87,6,3407,1384,125,0.982,9,94,43,31.4,201,154,47,76.6,44,7
2014,4,LG,128,62,64,2,0.492,16.5,6승0무4패,3패,33-1-30,29-1-34,0.279,5070,4349,668,1214,213,22,90,1741,622,77,57,524,17,63,817,112,0.4,0.361,0.761,127,0.29,0.202,4.58,62,64,35,65,0.492,1142 2/3,1211,104,419,95,810,643,581,1.43,2,9,47,21,5028,19440,0.275,195,27,72,44,25,51,1,91,10,3428,1414,125,0.982,9,119,48,28.7,169,105,64,62.1,51,9
2014,5,SK,128,61,65,2,0.484,17.5,6승1무3패,1패,31-2-31,30-0-34,0.291,5082,4423,735,1285,245,22,115,1919,696,91,49,447,12,72,926,92,0.434,0.361,0.795,128,0.301,0.305,5.51,61,65,26,44,0.484,1129 1/3,1271,153,522,68,837,760,692,1.59,2,3,41,15,5112,20141,0.287,239,21,60,36,19,67,1,107,3,3388,1373,132,0.978,6,103,51,33.1,185,139,46,75.1,50,11
2014,6,두산,128,59,68,1,0.465,20.0,6승0무4패,1승,29-0-35,30-1-33,0.293,5083,4427,687,1299,235,26,108,1910,646,81,43,468,10,64,731,103,0.431,0.366,0.797,128,0.282,0.194,5.43,59,68,19,61,0.465,1123 2/3,1311,121,450,58,840,733,678,1.57,4,2,42,14,5066,19670,0.295,243,29,63,55,4,56,4,81,3,3371,1268,102,0.983,7,113,46,28.9,155,111,44,71.6,50,6
2014,7,롯데,128,58,69,1,0.457,21.0,5승0무5패,1승,32-1-31,26-0-38,0.287,5194,4487,716,1288,252,26,121,1955,685,62,41,534,19,70,964,95,0.436,0.369,0.805,127,0.283,0.245,5.19,58,69,28,64,0.457,1133 1/3,1310,127,471,52,781,719,654,1.57,0,4,46,14,5092,19761,0.295,250,26,82,42,13,54,1,89,16,3400,1407,134,0.982,11,84,37,30.6,104,63,41,60.6,49,2
2014,8,KIA,128,54,74,0,0.422,25.5,3승0무7패,2승,26-0-38,28-0-36,0.288,5023,4443,662,1279,246,27,121,1942,631,67,35,416,11,62,870,95,0.437,0.355,0.792,128,0.258,0.235,5.82,54,74,26,40,0.422,1121 2/3,1289,116,561,67,896,788,725,1.65,2,5,42,21,5143,20272,0.293,252,32,66,52,8,78,1,94,7,3365,1348,131,0.98,7,162,64,28.3,184,121,63,65.8,59,7
2014,9,한화,128,49,77,2,0.389,29.5,2승0무8패,5패,28-0-36,21-2-41,0.283,5055,4417,619,1251,223,24,104,1834,594,50,43,490,5,55,839,125,0.415,0.359,0.774,128,0.266,0.221,6.35,49,77,26,30,0.389,1129,1451,162,537,81,748,889,796,1.76,2,3,37,11,5312,20365,0.318,265,48,69,59,14,83,3,113,7,3387,1344,126,0.977,12,110,59,34.9,111,70,41,63.1,46,5
