연도,순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문,타자_타율,타자_타석,타자_타수,타자_득점,타자_안타,타자_2루타,타자_3루타,타자_홈런,타자_루타,타자_타점,타자_희생번트,타자_희생플라이,타자_볼넷,타자_고의4구,타자_사구,타자_삼진,타자_병살타,타자_장타율,타자_출루율,타자_출루율+장타율(OPS),타자_멀티히트,타자_득점권타율,타자_대타타율,투수_평균자책점,투수_승리,투수_패배,투수_세이브,투수_홀드,투수_승률,투수_이닝,투수_피안타,투수_피홈런,투수_볼넷,투수_사구,투수_삼진,투수_실점,투수_자책점,투수_이닝당 출루허용률,투수_완투,투수_완봉,투수_퀄리티스타트,투수_블론세이브,투수_타자수,투수_투구수,투수_피안타율,투수_피2루타,투수_피3루타,투수_희생번트,투수_희생플라이,투수_고의4구,투수_폭투,투수_보크,수비_실책,수비_견제사,수비_풋아웃,수비_어시스트,수비_병살,수비_수비율,수비_포일,수비_도루허용,수비_도루실패,수비_도루저지율,주루_도루시도,주루_도루성공,주루_도루실패,주루_도루성공률,주루_주루사,주루_견제사
2020,4,LG,144,79,61,4,0.564,5.0,5승1무4패,2패,39-3-30,40-1-31,0.277,5681,4999,802,1384,253,29,149,2142,760,49,49,509,21,75,969,115,0.428,0.349,0.777,144,0.31,0.223,4.37,79,61,29,67,0.564,1292 2/3,1344,123,493,86,1019,694,627,1.42,2,13,70,19,5655,21725,0.27,240,17,38,56,12,49,4,80,6,3878,1460,156,0.985,9,89,36,28.8,122,83,39,68.0,64,5
2020,5,키움,144,80,63,1,0.559,5.5,6승0무4패,1패,41-1-30,39-0-33,0.269,5721,4945,759,1332,254,25,127,2017,713,43,52,608,16,73,1030,107,0.408,0.355,0.763,144,0.281,0.211,4.39,80,63,42,81,0.559,1280 1/3,1336,126,446,73,950,692,624,1.39,0,6,53,18,5556,21349,0.27,208,15,50,39,16,51,7,112,15,3841,1544,143,0.98,8,87,39,31.0,140,113,27,80.7,40,11
2020,6,KIA,144,73,71,0,0.507,13.0,4승0무6패,1승,37-0-35,36-0-36,0.274,5642,4937,724,1355,224,13,130,1995,692,63,38,535,10,69,957,114,0.404,0.351,0.755,144,0.284,0.258,5.13,73,71,33,79,0.507,1270,1399,120,559,70,1038,795,724,1.54,1,5,57,18,5681,22134,0.284,265,34,59,59,8,78,4,100,7,3810,1480,169,0.981,10,82,46,35.9,72,47,25,65.3,47,6
2020,7,롯데,144,71,72,1,0.497,14.5,3승0무7패,1승,41-0-31,30-1-41,0.276,5669,4958,750,1366,252,6,131,2023,711,39,48,569,18,55,875,148,0.408,0.353,0.761,144,0.283,0.216,4.64,71,72,25,59,0.497,1277 1/3,1351,143,447,58,1002,720,659,1.41,1,16,59,18,5583,21520,0.271,241,17,51,40,25,62,4,94,3,3832,1444,124,0.982,7,95,28,22.8,121,90,31,74.4,52,3
2020,8,삼성,144,64,75,5,0.46,19.5,6승2무2패,1승,33-2-37,31-3-38,0.268,5574,4923,699,1317,211,12,129,1939,658,50,53,486,10,62,990,117,0.394,0.338,0.732,144,0.272,0.26,4.78,64,75,25,80,0.46,1272 1/3,1330,151,542,67,931,745,676,1.47,3,11,53,19,5634,22269,0.27,222,16,50,47,16,55,5,102,9,3817,1310,126,0.98,6,57,38,40.0,181,132,49,72.9,42,14
2020,9,SK,144,51,92,1,0.357,34.5,5승0무5패,1승,28-0-44,23-1-48,0.25,5502,4839,634,1212,177,17,143,1852,595,49,34,511,18,69,981,112,0.383,0.329,0.712,144,0.254,0.203,5.57,51,92,20,53,0.357,1259 1/3,1343,162,670,84,953,846,780,1.6,1,3,47,19,5727,22729,0.275,225,17,41,46,12,85,5,99,6,3778,1326,139,0.981,6,129,57,30.6,126,81,45,64.3,44,16
2020,10,한화,144,46,95,3,0.326,38.5,3승1무6패,1승,25-2-45,21-1-50,0.245,5483,4862,551,1189,195,12,79,1645,523,45,25,462,9,89,1163,119,0.338,0.32,0.658,144,0.245,0.22,5.28,46,95,21,54,0.326,1265,1400,158,609,79,1019,820,742,1.59,1,6,40,15,5756,22882,0.282,240,18,51,57,22,76,5,100,7,3795,1279,133,0.981,10,120,45,27.3,87,51,36,58.6,43,4
2019,1,두산,144,88,55,1,0.615,0.0,8승1무1패,5승,47-0-25,41-1-30,0.278,5670,4913,736,1364,235,31,84,1913,691,39,83,563,16,72,799,117,0.389,0.355,0.744,144,0.277,0.202,3.51,88,55,44,69,0.615,1283 2/3,1259,78,380,70,860,550,500,1.28,3,10,81,16,5434,20630,0.257,231,22,41,53,22,48,5,83,8,3851,1430,131,0.985,6,96,32,25.0,140,102,38,72.9,59,7
2019,2,키움,144,86,57,1,0.601,2.0,6승0무4패,2승,45-1-26,41-0-31,0.282,5658,4991,780,1405,251,38,112,2068,741,36,48,514,13,69,943,122,0.414,0.354,0.768,144,0.3,0.276,3.61,86,57,39,91,0.601,1279,1293,61,371,58,984,572,513,1.3,2,12,76,11,5427,20160,0.263,244,24,42,39,3,45,6,99,13,3837,1509,128,0.982,6,92,46,33.3,143,110,33,76.9,37,6
2019,3,SK,144,88,55,1,0.615,0.0,4승0무6패,2승,44-1-27,44-0-28,0.262,5542,4919,655,1290,218,14,117,1887,622,35,38,462,20,87,966,92,0.384,0.334,0.718,144,0.278,0.252,3.48,88,55,51,92,0.615,1292 1/3,1240,99,436,50,1092,546,500,1.3,0,19,78,8,5463,20930,0.254,176,14,48,44,12,50,4,87,9,3877,1416,131,0.984,3,105,31,22.8,168,118,50,70.2,51,12
2019,4,LG,144,79,64,1,0.552,9.0,4승0무6패,1승,41-1-30,38-0-34,0.267,5536,4928,641,1316,233,15,94,1861,604,49,48,434,17,77,962,117,0.378,0.333,0.711,144,0.265,0.222,3.86,79,64,43,62,0.552,1283 1/3,1257,89,499,91,953,633,551,1.37,1,9,73,13,5555,20969,0.258,223,23,40,48,15,64,1,95,6,3850,1507,139,0.983,7,115,41,26.3,155,108,47,69.7,38,6
2019,5,NC,144,73,69,2,0.514,14.5,4승1무5패,2패,40-2-30,33-0-39,0.278,5631,4968,674,1383,249,26,128,2068,639,64,60,456,14,83,880,126,0.416,0.345,0.761,144,0.266,0.179,4.01,73,69,32,68,0.514,1284 1/3,1285,103,483,92,991,631,572,1.38,5,8,60,17,5578,21407,0.262,199,19,41,54,10,68,2,95,6,3853,1477,130,0.982,4,64,49,43.4,132,87,45,65.9,53,7
2019,6,KT,144,71,71,2,0.5,16.5,7승0무3패,2승,41-1-30,30-1-41,0.277,5582,4965,650,1375,187,20,103,1911,615,45,45,475,15,52,975,113,0.385,0.344,0.729,144,0.27,0.218,4.29,71,71,37,59,0.5,1277,1303,118,481,61,848,661,608,1.4,2,10,62,9,5533,20662,0.266,225,25,47,42,17,50,6,102,7,3831,1479,137,0.981,15,90,43,32.3,148,104,44,70.3,58,8
2019,7,KIA,144,62,80,2,0.437,25.5,5승0무5패,3승,39-0-33,23-2-47,0.264,5505,4874,605,1286,248,19,76,1800,567,31,45,497,13,58,919,108,0.369,0.336,0.705,144,0.256,0.19,4.65,62,80,30,64,0.437,1264,1362,101,504,76,976,723,653,1.48,3,11,59,13,5614,21353,0.276,257,24,35,61,17,51,2,110,5,3792,1381,126,0.979,9,116,50,30.1,129,87,42,67.4,61,7
2019,8,삼성,144,60,83,1,0.42,28.0,4승0무6패,1패,36-0-36,24-1-47,0.256,5533,4866,622,1245,230,26,122,1893,598,58,53,478,15,78,976,107,0.389,0.329,0.718,143,0.254,0.204,4.64,60,83,29,60,0.42,1275 1/3,1332,125,523,70,924,731,658,1.45,4,8,54,15,5638,21721,0.269,253,37,40,56,9,49,5,105,4,3826,1370,132,0.98,9,90,38,29.7,149,107,42,71.8,45,7
2019,9,한화,144,58,86,0,0.403,30.5,6승0무4패,3패,31-0-41,27-0-45,0.256,5482,4882,607,1250,223,16,88,1769,562,44,45,441,12,70,1090,112,0.362,0.324,0.686,143,0.255,0.187,4.8,58,86,28,43,0.403,1268 2/3,1407,120,526,72,934,737,677,1.52,2,8,48,17,5656,21848,0.283,238,19,44,44,9,66,4,106,8,3806,1488,151,0.98,10,104,49,32.0,156,105,51,67.3,51,6
2019,10,롯데,144,48,93,3,0.34,39.0,1승0무9패,8패,29-1-42,19-2-51,0.25,5488,4919,578,1231,214,22,90,1759,545,35,40,429,12,65,1085,108,0.358,0.316,0.674,144,0.25,0.193,4.83,48,93,16,47,0.34,1271,1407,120,546,71,1033,764,682,1.54,1,8,47,17,5729,21946,0.282,242,20,58,64,33,103,4,114,8,3813,1432,131,0.979,11,91,44,32.6,96,65,31,67.7,49,8
2018,1,SK,144,78,65,1,0.545,14.5,3승0무7패,2패,42-0-30,36-1-35,0.281,5682,4992,829,1403,234,13,233,2362,791,54,34,483,6,119,1079,103,0.473,0.356,0.829,144,0.288,0.241,4.67,78,65,29,63,0.545,1274 2/3,1353,189,425,74,1130,729,662,1.39,0,7,60,21,5563,21347,0.271,232,17,39,24,15,62,2,116,6,3824,1434,133,0.978,6,95,39,29.1,147,108,39,73.5,51,10
2018,2,두산,144,93,51,0,0.646,0.0,6승0무4패,1승,51-0-21,42-0-30,0.309,5870,5176,944,1601,284,30,191,2518,898,43,63,496,16,92,1016,112,0.486,0.376,0.862,144,0.317,0.263,4.98,93,51,41,56,0.646,1288 2/3,1401,154,476,109,1025,756,713,1.46,1,9,73,17,5700,21946,0.279,266,16,42,43,17,72,2,77,2,3866,1403,147,0.986,8,68,43,38.7,119,96,23,80.7,54,7
2018,3,한화,144,77,67,0,0.535,16.0,5승0무5패,1승,43-0-29,34-0-38,0.275,5539,4972,729,1369,249,14,151,2099,668,31,28,420,17,88,1098,113,0.422,0.341,0.763,144,0.283,0.231,4.93,77,67,37,62,0.535,1274,1394,164,472,89,1124,761,698,1.46,0,5,45,13,5637,22342,0.279,246,13,29,46,9,78,7,99,10,3822,1397,141,0.981,11,83,41,33.1,182,118,64,64.8,58,10
2018,4,넥센,144,75,69,0,0.521,18.0,5승0무5패,1패,37-0-35,38-0-34,0.288,5780,5141,825,1481,288,19,165,2302,787,32,50,472,25,85,1208,93,0.448,0.355,0.803,144,0.296,0.265,5.08,75,69,32,72,0.521,1282,1442,178,416,98,1021,780,723,1.45,4,2,63,23,5646,21381,0.285,252,18,41,33,13,59,4,106,16,3846,1506,147,0.981,7,70,39,35.8,134,101,33,75.4,45,6
2018,5,KIA,144,70,74,0,0.486,23.0,4승0무6패,1패,43-0-29,27-0-45,0.295,5744,5036,865,1487,258,22,170,2299,823,56,50,503,27,99,905,135,0.457,0.367,0.824,144,0.302,0.207,5.4,70,74,26,43,0.486,1270 2/3,1511,181,445,69,1017,826,763,1.54,4,5,50,20,5708,21852,0.297,271,17,47,51,28,65,3,94,8,3812,1371,127,0.982,11,95,40,29.6,125,88,37,70.4,53,6
2018,6,삼성,144,68,72,4,0.486,23.0,6승1무3패,2승,33-3-36,35-1-36,0.288,5766,5109,776,1471,241,29,146,2208,732,57,45,468,14,87,1034,115,0.432,0.355,0.787,144,0.282,0.237,5.19,68,72,33,56,0.486,1285 1/3,1477,185,441,107,1114,802,741,1.49,0,5,58,17,5740,22530,0.289,291,18,40,43,10,45,5,79,5,3856,1337,133,0.985,7,100,38,27.5,168,116,52,69.0,46,4
2018,7,롯데,144,68,74,2,0.479,24.0,6승0무4패,1패,34-0-38,34-2-36,0.289,5764,5130,821,1484,289,17,203,2416,792,45,37,471,22,81,1157,124,0.471,0.356,0.827,144,0.29,0.25,5.37,68,74,29,64,0.479,1283 2/3,1410,166,548,73,1164,846,766,1.53,0,6,43,22,5788,22871,0.279,295,26,63,43,23,65,7,117,5,3851,1426,132,0.978,14,101,41,28.9,100,68,32,68.0,46,10
2018,8,LG,144,68,75,1,0.476,24.5,4승0무6패,2승,39-1-32,29-0-43,0.293,5665,5070,788,1487,299,12,148,2254,740,51,51,418,14,75,1001,125,0.445,0.353,0.798,144,0.307,0.245,5.29,68,75,29,43,0.476,1268 2/3,1434,159,453,89,1058,816,746,1.49,3,7,64,17,5677,21711,0.285,266,19,45,50,13,72,4,100,7,3806,1404,121,0.981,10,100,41,29.1,109,71,38,65.1,48,7
2018,9,KT,144,59,82,3,0.418,32.5,5승0무5패,1승,31-2-39,28-1-43,0.275,5605,5026,757,1382,264,13,206,2290,721,43,26,464,14,46,1109,103,0.456,0.34,0.796,144,0.273,0.262,5.34,59,82,24,45,0.418,1274 1/3,1580,194,409,84,1025,834,756,1.56,4,5,59,18,5743,21948,0.307,272,23,56,43,25,63,1,99,9,3823,1502,161,0.982,21,99,42,29.8,137,80,57,58.4,63,7
2018,10,NC,144,58,85,1,0.406,34.5,2승0무8패,3패,33-0-39,25-1-46,0.261,5488,4895,660,1280,233,18,143,1978,629,35,43,427,15,88,1081,115,0.404,0.329,0.733,143,0.268,0.284,5.48,58,85,24,51,0.406,1264,1443,186,537,68,1010,844,769,1.57,1,4,45,20,5701,22506,0.289,248,20,45,51,17,92,6,107,7,3792,1401,141,0.98,19,86,46,34.8,117,82,35,70.1,48,8
2017,1,KIA,144,87,56,1,0.608,0.0,6승0무4패,2승,45-0-27,42-1-29,0.302,5841,5142,906,1554,292,29,170,2414,868,55,56,499,19,89,891,117,0.469,0.37,0.839,144,0.324,0.254,4.79,87,56,33,46,0.608,1290,1518,137,434,77,985,743,687,1.51,5,5,75,18,5748,22223,0.295,255,21,52,46,22,69,4,98,4,3870,1498,153,0.982,12,69,45,39.5,110,76,34,69.1,46,8
2017,2,두산,144,84,57,3,0.596,2.0,8승0무2패,1패,39-3-30,45-0-27,0.294,5833,5102,849,1499,270,20,178,2343,812,48,47,541,19,95,960,120,0.459,0.369,0.828,144,0.296,0.2,4.38,84,57,35,46,0.596,1288,1405,125,464,87,956,678,627,1.45,3,9,69,13,5682,22169,0.28,234,31,77,39,11,54,4,90,9,3864,1468,138,0.983,5,64,36,36.0,102,69,33,67.6,36,8
