,연도,선수,팀,구종,포크_구사%,포크_구속,포크_상하_무브먼트,포크_좌우_무브먼트,포크_분당_회전수,포크_좌우_릴리스포인트,포크_상하_릴리스포인트,포크_타구_속도,포크_상하_각도,포크_피안타율,포크_피장타율,포크_땅볼%,포크_라인드라이브%,포크_뜬공%,포크_팝플라이%,포크_강한_타구%
53,2022,김민우,한화,포크,28.5,131.4,14.8,1.6,1119.9,-28.5,187.3,132.7,15.2,0.167,0.259,42.3,26.1,18.0,13.5,22.5
54,2022,임창민,두산,포크,28.5,133.2,15.8,-19.1,1817.7,-55.9,180.0,138.0,12.4,0.233,0.302,47.8,30.4,13.0,8.7,21.7
55,2022,김태훈,키움,포크,27.4,133.4,10.1,-11.9,1183.2,-23.2,183.5,135.0,15.6,0.204,0.241,37.0,29.6,22.2,11.1,22.2
56,2022,이승현,삼성,포크,19.9,130.4,14.2,-10.6,1314.4,-6.6,184.4,127.9,22.8,0.276,0.345,21.1,42.1,15.8,21.1,15.8
57,2022,류진욱,NC,포크,17.6,136.7,10.8,-17.8,1574.3,-60.7,170.7,131.3,11.2,0.268,0.293,40.0,40.0,20.0,0.0,6.7
58,2022,이인복,롯데,포크,17.6,130.1,4.4,-16.1,1181.1,-25.0,184.8,137.5,12.6,0.257,0.292,42.2,35.9,18.8,3.1,15.6
59,2022,한승혁,KIA,포크,16.5,137.0,11.0,-17.1,1505.4,-42.7,174.8,136.7,13.6,0.292,0.462,46.4,35.7,7.1,10.7,28.6
60,2022,노경은,SSG,포크,16.1,132.0,18.6,-17.4,1821.5,-31.0,187.9,130.3,14.8,0.138,0.2,45.2,29.0,9.7,16.1,9.7
61,2022,송명기,NC,포크,15.1,133.6,11.7,-14.4,1349.4,-63.8,150.8,135.0,17.0,0.3,0.425,34.7,36.7,16.3,12.2,22.4
62,2022,장현식,KIA,포크,14.9,138.2,16.6,-14.1,1599.7,-35.4,182.0,135.6,13.9,0.256,0.308,54.5,18.2,4.5,22.7,9.1
63,2022,오승환,삼성,포크,14.7,131.7,16.2,-21.0,1873.4,-61.7,164.1,128.7,8.6,0.25,0.286,50.0,43.8,6.3,0.0,6.3
64,2022,이영하,두산,포크,14.7,131.5,11.0,-15.5,1368.5,-45.1,199.5,127.0,7.1,0.194,0.209,57.5,17.5,12.5,12.5,22.5
65,2022,김재열,KIA,포크,14.2,134.5,14.3,-12.0,1353.7,-14.5,189.1,127.9,21.1,0.318,0.409,46.7,20.0,6.7,26.7,13.3
66,2022,김택형,SSG,포크,13.5,130.4,16.3,19.5,1791.0,78.9,173.8,132.9,26.4,0.318,0.5,26.7,33.3,13.3,26.7,26.7
67,2022,정해영,KIA,포크,13.4,136.6,19.2,-14.2,1741.8,-56.0,185.8,132.7,12.7,0.292,0.458,45.2,25.8,19.4,9.7,12.9
68,2022,정찬헌,키움,포크,13.4,127.4,7.9,-15.5,1206.3,-28.1,174.4,136.1,12.0,0.326,0.435,50.0,25.0,12.5,12.5,25.0
69,2022,김태경,NC,포크,12.9,129.8,11.1,-3.6,897.0,-30.1,185.9,122.3,14.4,0.222,0.222,50.0,20.0,10.0,20.0,0.0
70,2022,구창모,NC,포크,12.8,133.2,12.4,20.2,1681.2,73.0,172.9,134.8,17.0,0.246,0.368,32.3,38.7,12.9,16.1,25.8
71,2022,김시훈,NC,포크,11.6,136.4,12.1,-17.9,1581.6,-41.0,184.5,130.5,13.4,0.27,0.351,45.8,20.8,25.0,8.3,16.7
