,Unnamed: 0,월,일,원정,홈,원정점수,홈점수
74,74,4,20,NC,LG,4,9
75,75,4,20,두산,한화,5,1
76,76,4,20,SSG,KT,8,5
77,77,4,20,삼성,키움,1,6
78,78,4,21,KT,두산,6,10
79,79,4,21,LG,한화,4,2
80,80,4,21,롯데,NC,3,2
81,81,4,21,삼성,KIA,4,5
82,82,4,21,키움,SSG,1,3
83,83,4,22,KT,두산,1,5
84,84,4,22,LG,한화,3,0
85,85,4,22,롯데,NC,10,6
86,86,4,22,삼성,KIA,2,6
87,87,4,22,키움,SSG,2,3
88,88,4,23,KT,두산,1,1
89,89,4,23,LG,한화,6,7
90,90,4,23,롯데,NC,5,3
91,91,4,23,삼성,KIA,3,5
92,92,4,23,키움,SSG,7,9
93,93,4,25,KT,키움,0,1
94,94,4,25,NC,KIA,6,0
95,95,4,25,SSG,LG,4,5
96,96,4,26,한화,롯데,1,8
97,97,4,26,KT,키움,2,13
98,98,4,26,NC,KIA,0,6
99,99,4,26,두산,삼성,0,1
100,100,4,26,SSG,LG,5,3
101,101,4,27,한화,롯데,0,3
102,102,4,27,KT,키움,1,3
103,103,4,27,NC,KIA,0,5
104,104,4,27,두산,삼성,6,7
105,105,4,27,SSG,LG,3,6
106,106,4,28,KIA,LG,4,3
107,107,4,28,NC,한화,6,4
108,108,4,28,두산,SSG,1,4
109,109,4,28,삼성,KT,10,9
110,110,4,28,키움,롯데,2,5
111,111,4,29,KIA,LG,6,3
112,112,4,29,NC,한화,3,2
113,113,4,29,두산,SSG,4,10
114,114,4,29,삼성,KT,3,2
115,115,4,30,KIA,LG,12,8
116,116,4,30,NC,한화,4,1
117,117,4,30,두산,SSG,2,0
118,118,4,30,삼성,KT,1,0
119,119,4,30,키움,롯데,3,5
120,120,5,2,한화,두산,0,3
121,121,5,2,KT,SSG,11,4
122,122,5,2,LG,NC,5,3
123,123,5,2,롯데,KIA,7,4
124,124,5,2,키움,삼성,4,0
125,125,5,3,한화,두산,8,3
126,126,5,3,KT,SSG,3,5
127,127,5,3,LG,NC,2,1
128,128,5,3,롯데,KIA,2,10
129,129,5,3,키움,삼성,4,1
130,130,5,4,한화,두산,10,3
131,131,5,4,KT,SSG,2,10
132,132,5,4,키움,삼성,1,14
133,133,5,5,SSG,키움,3,1
134,134,5,6,SSG,키움,2,1
135,135,5,7,KT,한화,2,6
136,136,5,7,LG,두산,11,1
137,137,5,7,SSG,키움,7,6
138,138,5,9,NC,KT,16,4
139,139,5,9,두산,롯데,5,2
